,その他,その他.1,Unnamed: 2,Unnamed: 3
0,予約済 / 未割当割当済 / 未使用段階的廃止 / ISO 3166-1から削除削除 / 撤退 .bl .bq .eh .mf .bv .gb .sj .su .an .bu .cs .dd .tp .um .yu .zr,予約済 / 未割当割当済 / 未使用段階的廃止 / ISO 3166-1から削除削除 / 撤退 .bl .bq .eh .mf .bv .gb .sj .su .an .bu .cs .dd .tp .um .yu .zr,,
1,予約済 / 未割当割当済 / 未使用段階的廃止 / ISO 3166-1から削除削除 / 撤退 .bl .bq .eh .mf .bv .gb .sj .su .an .bu .cs .dd .tp .um .yu .zr,予約済 / 未割当割当済 / 未使用段階的廃止 / ISO 3166-1から削除削除 / 撤退 .bl .bq .eh .mf .bv .gb .sj .su .an .bu .cs .dd .tp .um .yu .zr,,
2,予約済 / 未割当,割当済 / 未使用,段階的廃止 / ISO 3166-1から削除,削除 / 撤退
3,.bl .bq .eh .mf,.bv .gb .sj,.su,.an .bu .cs .dd .tp .um .yu .zr
